x,y,z
1.325,2.825,1.75
1.375,2.825,1.75
1.425,2.825,1.75
1.475,2.825,1.75
1.525,2.825,1.75
1.575,2.825,1.75
1.625,2.825,1.75
1.675,2.825,1.75
1.325,2.875,1.75
1.375,2.875,1.75
1.425,2.875,1.75
1.475,2.875,1.75
1.525,2.875,1.75
1.575,2.875,1.75
1.625,2.875,1.75
1.675,2.875,1.75
1.325,2.925,1.75
1.375,2.925,1.75
1.425,2.925,1.75
1.475,2.925,1.75
1.525,2.925,1.75
1.575,2.925,1.75
1.625,2.925,1.75
1.675,2.925,1.75
1.325,2.975,1.75
1.375,2.975,1.75
1.425,2.975,1.75
1.475,2.975,1.75
1.525,2.975,1.75
1.575,2.975,1.75
1.625,2.975,1.75
1.675,2.975,1.75
1.325,3.025,1.75
1.375,3.025,1.75
1.425,3.025,1.75
1.475,3.025,1.75
1.525,3.025,1.75
1.575,3.025,1.75
1.625,3.025,1.75
1.675,3.025,1.75
1.325,3.075,1.75
1.375,3.075,1.75
1.425,3.075,1.75
1.475,3.075,1.75
1.525,3.075,1.75
1.575,3.075,1.75
1.625,3.075,1.75
1.675,3.075,1.75
1.325,3.125,1.75
1.375,3.125,1.75
1.425,3.125,1.75
1.475,3.125,1.75
1.525,3.125,1.75
1.575,3.125,1.75
1.625,3.125,1.75
1.675,3.125,1.75
1.325,3.175,1.75
1.375,3.175,1.75
1.425,3.175,1.75
1.475,3.175,1.75
1.525,3.175,1.75
1.575,3.175,1.75
1.625,3.175,1.75
1.675,3.175,1.75
